episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
520,1.0,3.2682940788737436,1.471165467222642,-179.75315838643587,2.2505322623413875,2.7331026408055394,[2.2505322623413875 2.7331026408055394],0.0,False,True,0.557706583152139,1,25.106790570080385,1750.963,prepare,0.0,0
520,2.0,3.2683161026029017,1.4712045835790453,-179.76848290075242,30.0,4.0,[30.0 4.0],5.783332501523219,False,True,0.557617227167165,1,25.106790570080385,1751.034,in_progress,0.0,0
520,3.0,3.258645913602964,1.4700652435507602,-179.6452455909874,-30.0,1.0,[-30.0 1.0],0.42236662687660326,False,True,0.5961791076009471,1,25.106790570080385,1751.093,in_progress,0.0,0
520,4.0,3.244597107610025,1.4769950871513098,179.00888677539675,-22.45586368712011,4.0,[-22.45586368712011 4.0],5.7869507155161415,False,True,0.6518415498995204,1,25.106790570080385,1751.165,in_progress,0.0,0
520,5.0,3.2171284961758784,1.4927658369550247,175.32765282003479,-30.0,2.2440742376597758,[-30.0 2.2440742376597758],2.2996302606838035,False,True,0.7605811180584073,1,25.106790570080385,1751.235,in_progress,0.0,0
520,6.0,3.1753455558326134,1.5236334378616228,168.96512828161335,4.717968168450703,3.903848803165215,[4.717968168450703 3.903848803165215],2.387495811475642,False,True,0.925698098857243,2,25.106790570080385,1751.3,in_progress,0.0,0
520,7.0,3.125282070638133,1.5568040136930612,163.59886008306177,30.0,4.0,[30.0 4.0],4.845070001436128,False,True,1.1236979540658516,2,25.106790570080385,1751.373,in_progress,0.0,0
520,8.0,3.0492601182728833,1.5763276958507193,164.11963719173676,-20.5829265675201,2.6091463345648944,[-20.5829265675201 2.6091463345648944],2.2907834352558885,False,True,1.425656678204007,3,25.106790570080385,1751.43,in_progress,0.0,0
520,9.0,2.9842600917855986,1.5872707383988216,165.7852913059941,-30.0,3.681293633849397,[-30.0 3.681293633849397],4.194883959399639,False,True,1.6840775518576008,3,25.106790570080385,1751.497,in_progress,0.0,0
520,10.0,2.8883654862155983,1.622452279553345,163.35255159362146,-30.0,1.0,[-30.0 1.0],0.49296866124897354,False,True,2.081443541495594,3,25.106790570080385,1751.564,in_progress,0.0,0
520,11.0,2.8215010495020425,1.6649022229408883,158.02889488263713,30.0,4.0,[30.0 4.0],4.1241831854453475,False,True,2.3506037876392565,4,25.106790570080385,1751.634,in_progress,0.0,0
520,12.0,2.7269483764157085,1.715883981073547,155.81504591817142,30.0,4.0,[30.0 4.0],4.1387753660892095,False,True,2.730608491906483,4,25.106790570080385,1751.706,in_progress,0.0,0
520,13.0,2.6117751759461654,1.7457500870062848,159.93393431945088,30.0,4.0,[30.0 4.0],4.1552618594324295,False,True,3.159944256052855,4,25.106790570080385,1751.761,in_progress,0.0,0
520,14.0,2.505850807898447,1.7581829242926201,165.4483906961874,30.0,4.0,[30.0 4.0],4.171438911514319,False,True,3.5812216540187207,5,25.106790570080385,1751.828,in_progress,0.0,0
520,15.0,2.3692721104609475,1.7543159776045392,173.88161409110938,30.0,2.118011348110292,[30.0 2.118011348110292],1.2442380629800678,False,True,4.175251347571772,5,25.106790570080385,1751.891,in_progress,0.0,0
520,16.0,2.2314980143584373,1.730057056794603,-176.30316800550406,-5.658899068521475,3.4653819048040235,[-5.658899068521475 3.4653819048040235],0.3931885098692822,False,True,4.720616893747348,5,25.106790570080385,1751.964,in_progress,0.0,0
520,17.0,2.091161704345109,1.7018738441751267,-170.1300302929083,-30.0,4.0,[-30.0 4.0],4.243243061788918,False,True,5.451121400753057,6,25.106790570080385,1752.03,in_progress,0.0,0
520,18.0,1.9200719863816604,1.6881545179878306,-170.622418532246,-30.0,4.0,[-30.0 4.0],5.036250460085462,False,True,6.102355731392259,7,25.106790570080385,1752.099,in_progress,0.0,0
520,19.0,1.7486585633208966,1.691157558247596,-176.401110739575,-30.0,4.0,[-30.0 4.0],5.063922538882489,False,True,6.822982783398141,7,25.106790570080385,1752.158,in_progress,0.0,0
520,20.0,1.5791597703760292,1.7107683499370956,176.80468275146183,30.0,4.0,[30.0 4.0],5.089417874583453,False,True,7.486923817277419,8,25.106790570080385,1752.23,in_progress,0.0,0
520,21.0,1.3942281338731979,1.7328499342307693,172.11998577400558,30.0,3.146854520372788,[30.0 3.146854520372788],3.353106992927326,False,True,8.14080034481114,8,25.106790570080385,1752.298,in_progress,0.0,0
520,22.0,1.202788357367133,1.735686834959109,174.16947088957997,-30.0,2.7478330739543955,[-30.0 2.7478330739543955],3.330503044218493,False,True,8.902504705548035,9,25.106790570080385,1752.359,in_progress,0.0,0
520,23.0,1.014708587594128,1.7269519888815552,-179.37576561806563,-19.455077941079182,3.7025046938319925,[-19.455077941079182 3.7025046938319925],5.632161726417319,False,True,9.50554109764746,9,25.106790570080385,1752.428,in_progress,0.0,0
520,24.0,0.8140541087721936,1.7335142353747004,-179.36176421786718,30.0,2.0226423712824877,[30.0 2.0226423712824877],1.619535454368002,False,True,10.348261357656892,10,25.106790570080385,1752.492,in_progress,0.0,0
520,25.0,0.6215042673293236,1.7471289650087638,178.0932998062324,22.42101407100529,3.616892040291014,[22.42101407100529 3.616892040291014],3.6814455459784163,False,True,11.084321223828255,11,25.106790570080385,1752.568,in_progress,0.0,0
520,26.0,0.4118415081870372,1.7494133243175196,179.10792657210504,-27.890837825322524,3.102398870080771,[-27.890837825322524 3.102398870080771],2.7789963406759113,False,True,12.050100082503864,12,25.106790570080385,1752.627,in_progress,0.0,0
