episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
420,1.0,3.2681949493435645,1.471166844786191,-179.77563951010242,24.02401124636245,4.0,[24.02401124636245 4.0],0.0,False,True,0.5581013350310723,1,25.106790570080385,1470.298,prepare,0.0,0
420,2.0,3.2683161026029572,1.4712045835790455,-179.76848290075242,-30.0,4.0,[-30.0 4.0],3.2602267981602164,False,True,0.5576172271671659,1,25.106790570080385,1470.381,in_progress,0.0,0
420,3.0,3.2594963047619037,1.468361973220643,-178.9092573404994,-28.278747113326204,3.1065416851664134,[-28.278747113326204 3.1065416851664134],0.001,False,True,0.592863638667877,1,25.106790570080385,1470.437,in_progress,0.0,0
420,4.0,3.238935143643443,1.4769192611698454,178.9960617470314,9.566486587289923,2.275940414875137,[9.566486587289923 2.275940414875137],4.502900809342076,False,True,0.6743950040928198,1,25.106790570080385,1470.509,in_progress,0.0,0
420,5.0,3.2031319037778916,1.4824211774840719,177.74113550665885,-12.725486930239708,4.0,[-12.725486930239708 4.0],5.4286230286196915,False,True,0.8167601425830877,2,25.106790570080385,1470.581,in_progress,0.0,0
420,6.0,3.149339478411763,1.483399810980175,177.7964376701129,30.0,4.0,[30.0 4.0],3.275563159198215,False,True,1.0309617036486394,2,25.106790570080385,1470.643,in_progress,0.0,0
420,7.0,3.085692088367384,1.4882955285256123,176.94636988124628,18.483367452038806,4.0,[18.483367452038806 4.0],5.443769667081344,False,True,1.2842489839920974,2,25.106790570080385,1470.712,in_progress,0.0,0
420,8.0,3.0140243093691588,1.4787771028661731,179.8832035673517,-9.25080910724338,4.0,[-9.25080910724338 4.0],6.53303072670072,False,True,1.5700841574296303,3,25.106790570080385,1470.773,in_progress,0.0,0
420,9.0,2.9301746135174285,1.4700328935256208,-178.16846541681116,-7.731907053778915,4.0,[-7.731907053778915 4.0],6.543869242696918,False,True,1.90460625607769,3,25.106790570080385,1470.843,in_progress,0.0,0
420,10.0,2.83217868786465,1.4731273001120817,-179.50851272768693,-21.415744894423717,4.0,[-21.415744894423717 4.0],3.3165204605230443,False,True,2.295075942069259,3,25.106790570080385,1470.901,in_progress,0.0,0
420,11.0,2.731055009674111,1.4865450361108965,177.23911555612978,-11.063422094070162,4.0,[-11.063422094070162 4.0],5.489597934724507,False,True,2.6987016890280167,4,25.106790570080385,1470.978,in_progress,0.0,0
420,12.0,2.5795838535445847,1.52060527397105,171.74348231565446,20.215764883487182,4.0,[20.215764883487182 4.0],3.349041228669753,False,True,3.298803354004737,4,25.106790570080385,1471.037,in_progress,0.0,0
420,13.0,2.470637455331153,1.544579729208025,170.05887218827664,21.29164244052685,4.0,[21.29164244052685 4.0],3.363062888327262,False,True,3.7315706273846345,5,25.106790570080385,1471.117,in_progress,0.0,0
420,14.0,2.2772714392174036,1.5589278863118636,173.8512123773128,21.429239211573332,3.6326987021181876,[21.429239211573332 3.6326987021181876],2.209985829137919,False,True,4.516502292720289,5,25.106790570080385,1471.168,in_progress,0.0,0
420,15.0,2.1495235513104984,1.5554388907443273,177.64781420546842,1.4877093241041557,4.0,[1.4877093241041557 4.0],5.564957410629437,False,True,5.02461143918015,6,25.106790570080385,1471.249,in_progress,0.0,0
420,16.0,1.937826864406696,1.536433969083121,-176.94914041548196,-16.976344477915674,4.0,[-16.976344477915674 4.0],5.593198587248015,False,True,5.896252692839989,6,25.106790570080385,1471.308,in_progress,0.0,0
420,17.0,1.764902247388094,1.5268473437454262,-176.93550981152805,8.624812386655421,2.8365569521791105,[8.624812386655421 2.8365569521791105],0.001,False,True,6.5568738614092155,7,25.106790570080385,1471.378,in_progress,0.0,0
420,18.0,1.5543581219646345,1.5201248742326923,-177.92998741893223,-5.285517362559446,2.8020844009966828,[-5.285517362559446 2.8020844009966828],0.001,False,True,7.334044482910692,8,25.106790570080385,1471.445,in_progress,0.0,0
420,19.0,1.3737600763351119,1.5134745760147872,-177.97816137583243,-11.146621645258712,4.0,[-11.146621645258712 4.0],0.001,False,True,8.167239372043685,8,25.106790570080385,1471.5,in_progress,0.0,0
420,20.0,1.1879380521603218,1.5161858172740303,-179.92033347543128,11.933681517167898,4.0,[11.933681517167898 4.0],0.001,False,True,9.153919136841465,9,25.106790570080385,1471.569,in_progress,0.0,0
420,21.0,0.9585681357671829,1.5164046454889595,-179.89067568038365,-26.947936593225666,4.0,[-26.947936593225666 4.0],0.001,False,True,10.009129345743197,10,25.106790570080385,1471.641,in_progress,0.0,0
420,22.0,0.7518563722780444,1.5118166905220654,-179.14899177712508,27.04663697235611,4.0,[27.04663697235611 4.0],0.001,False,True,10.78471140161309,11,25.106790570080385,1471.718,in_progress,0.0,0
420,23.0,0.5087924727621675,1.5107751454695213,-179.34591953731154,-14.662089383049093,4.0,[-14.662089383049093 4.0],5.782777237635736,False,True,11.747445606041262,11,25.106790570080385,1471.768,in_progress,0.0,0
420,24.0,0.34756982982206275,1.5033028238765473,-178.08422917224536,13.28559769985796,4.0,[13.28559769985796 4.0],5.803588388557902,False,True,12.389765078947605,12,25.106790570080385,1471.84,in_progress,0.0,0
420,25.0,0.08156110633396155,1.4933288916128464,-177.80474346411756,-3.5757633586197386,4.0,[-3.5757633586197386 4.0],6.91827276213933,False,True,13.460270436399071,13,25.106790570080385,1471.904,in_progress,0.0,0
